ST,CB,PB,GO,CA,Methodology,Rebal.,Cost,Volatility,Return_1M,Return_3M,Return_6M,Return_9M,Return_12M
20,15,15,35,15,DCA,YES,153,5.3945476793593805,1.61,-3.41,5.11,4.58,4.49
30,0,5,5,60,DCA,NO,83,6.210680908858238,0.21,-5.2,1.29,1.87,4.07
15,30,20,20,15,DCA,YES,141,5.355219496980582,1.44,-2.82,4.19,2.91,2.75
15,15,55,10,5,DCA,YES,200,5.320017578628815,1.91,-2.07,2.44,1.13,0.94
15,0,50,30,5,DCA,YES,211,5.341423851793939,2.25,-1.77,3.65,3.11,2.45
15,25,40,10,10,DCA,YES,170,5.331457319930363,1.61,-2.48,2.94,1.49,1.42
40,5,45,0,10,1-OFF,YES,200,2.7718158101178996,1.11,-6.28,0.2,0.54,3.28
50,5,40,5,0,DCA,NO,216,6.221699089462045,1.12,-8.33,2.2,2.5,5.71
45,15,0,30,10,DCA,YES,157,5.510875387599672,0.99,-8.03,5.56,5.24,7.4
0,35,20,10,35,DCA,NO,97,6.17842728205664,1.29,-0.35,3.14,1.5,0.64
25,30,10,35,0,1-OFF,YES,163,4.393656269381056,1.81,-3.71,7.1,9.09,11.37
30,5,45,20,0,DCA,YES,215,5.40180960385155,1.82,-4.63,3.51,2.79,3.56
5,40,0,50,5,DCA,YES,131,5.351839766132173,1.96,-1.47,7.27,6.15,4.46
0,20,60,0,20,DCA,NO,168,6.166193234860474,1.8,0.47,1.35,-0.28,-1.38
0,40,25,0,35,DCA,NO,96,6.174199696043598,1.1,-0.44,2.44,0.47,-0.36
0,60,30,10,0,1-OFF,YES,142,2.008524082707398,1.83,1.21,7.57,5.74,4.76
0,0,10,30,60,1-OFF,NO,79,2.572419566002554,1.38,1.24,5.28,7.12,7.19
40,5,0,40,15,1-OFF,NO,157,5.163033215587534,1.41,-6.91,4.18,7.98,11.81
5,20,55,0,20,1-OFF,NO,166,0.9188059126311873,1.65,1.03,3.44,1.88,1.16
10,35,25,20,10,1-OFF,NO,147,2.529048135236577,1.76,-0.61,6.33,6.41,6.72
50,5,5,35,5,1-OFF,NO,181,5.377730562767637,1.32,-8.87,2.89,6.56,11.14
0,0,5,75,20,1-OFF,YES,146,6.01473795600156,2.93,2.35,12.36,17.21,17.73
15,60,5,0,20,DCA,NO,91,6.1930727777406815,0.74,-3.79,3.97,1.75,2.15
5,45,5,40,5,1-OFF,NO,130,4.207850712932269,2.11,0.16,9.91,11.27,11.59
0,60,20,5,15,1-OFF,YES,108,1.6730613738970543,1.38,0.69,6.33,4.41,3.58
20,50,0,5,25,1-OFF,YES,90,2.499955866054199,0.67,-3.91,3.81,3.31,4.78
0,0,65,15,20,DCA,NO,191,6.169863848671203,2.27,1.03,1.68,0.9,-0.28
20,15,30,0,35,1-OFF,YES,129,1.5038219203408116,0.89,-2.81,1.53,1.2,2.33
10,0,5,60,25,DCA,YES,140,5.383947930170356,1.99,-1.41,6.41,6.8,5.42
50,15,0,0,35,DCA,YES,114,5.51509231561588,0.04,-8.92,2.84,2.26,5.7
15,45,25,10,5,DCA,NO,148,6.191291625924326,1.48,-3.13,4.13,2.32,2.45
60,15,0,20,5,DCA,NO,170,6.2452373698554515,0.7,-10.79,4.45,5.18,9.4
20,0,35,15,30,DCA,YES,156,5.366411964930672,1.37,-2.88,2.39,1.95,2.35
40,15,10,0,35,DCA,NO,119,6.217691698539499,0.29,-7.23,1.96,2.02,4.84
25,25,35,15,0,1-OFF,YES,186,2.779331632606862,1.68,-3.31,4.55,4.91,6.51
20,5,70,5,0,1-OFF,NO,231,1.3472456453329515,2.01,-1.2,2.65,2.07,2.57
0,20,0,40,40,1-OFF,YES,87,3.616765787575033,1.71,1.09,8.05,9.99,10.13
0,10,55,5,30,1-OFF,NO,156,0.967233366175292,1.75,2.22,3.8,2.74,1.71
5,0,15,65,15,DCA,YES,164,5.358397027436677,2.43,-0.38,6.7,6.98,4.91
45,0,20,20,15,DCA,NO,178,6.225680135239936,1.11,-7.55,3.23,4.0,6.92
5,5,20,30,40,1-OFF,NO,118,2.708864955625955,1.69,0.6,5.74,7.37,7.67
0,20,50,0,30,DCA,NO,143,6.168589091360716,1.54,0.32,1.32,-0.17,-1.13
10,15,10,60,5,DCA,YES,165,5.376448669762488,2.28,-1.66,7.18,6.94,5.35
35,20,5,15,25,1-OFF,YES,127,3.578148259859599,0.79,-6.32,2.42,3.86,6.98
20,60,20,0,0,1-OFF,NO,140,2.1490970066068047,1.12,-3.47,4.16,2.52,3.42
0,15,40,30,15,DCA,NO,167,6.180148908788435,2.34,0.46,4.01,3.05,1.81
20,20,35,10,15,1-OFF,NO,163,1.9366838822415522,1.45,-2.46,3.24,3.23,4.28
15,0,25,50,10,1-OFF,YES,183,4.4895934498003305,2.47,-0.62,8.31,11.57,12.97
5,20,0,0,75,1-OFF,NO,27,0.6661999156880899,0.2,-1.08,1.23,0.76,1.04
20,20,15,30,15,1-OFF,YES,148,3.5893068815155234,1.67,-2.59,6.04,7.74,9.44
0,40,5,5,50,1-OFF,NO,54,1.2466027005449976,0.76,0.18,4.16,3.15,2.77
10,20,15,15,40,DCA,YES,101,5.337904104166834,1.05,-1.83,2.97,2.11,1.92
0,20,0,80,0,1-OFF,NO,158,6.753705183414812,3.21,2.2,14.59,19.38,19.91
40,35,5,15,5,1-OFF,NO,149,3.9386251792086457,0.94,-7.55,2.67,3.75,7.02
65,5,5,25,0,DCA,YES,194,5.59246224366713,0.82,-11.36,5.2,5.19,9.05
10,0,45,40,5,DCA,NO,206,6.191678232231265,2.64,-0.88,4.39,4.25,3.74
15,60,5,10,10,DCA,YES,109,5.355241298902459,1.02,-3.68,4.71,2.47,2.6
5,5,30,55,5,DCA,YES,188,5.335683897133672,2.57,-0.31,5.96,5.74,3.76
10,30,10,35,15,DCA,YES,132,5.354012712223276,1.65,-2.04,5.47,4.45,3.58
0,15,50,20,15,DCA,NO,174,6.174659002836451,2.23,0.54,3.03,1.88,0.65
40,0,0,25,35,DCA,YES,126,5.489930932162449,0.69,-6.82,4.15,4.32,6.38
10,20,35,30,5,DCA,NO,178,6.190549094781102,2.23,-1.49,4.55,3.66,3.22
5,40,5,25,25,DCA,YES,100,5.328421772930537,1.31,-1.49,4.76,3.38,2.48
20,0,55,20,5,1-OFF,NO,216,2.2019019571450293,2.12,-1.34,4.1,4.99,5.93
15,0,50,20,15,DCA,NO,193,6.189122230603574,2.01,-1.81,2.53,2.29,2.42
25,0,10,60,5,1-OFF,NO,183,5.71940060527586,2.42,-2.93,8.46,13.11,15.65
25,40,15,0,20,1-OFF,YES,121,2.306901667767229,0.75,-4.45,2.58,1.95,3.63
15,10,5,60,10,1-OFF,YES,158,5.526476285790261,2.43,-1.13,9.91,13.94,15.78
15,25,20,10,30,DCA,NO,119,6.192964058202584,1.12,-2.81,2.93,2.01,2.44
5,0,45,10,40,DCA,YES,142,5.290685433853126,1.51,-0.15,1.26,0.65,0.04
15,0,80,0,5,DCA,NO,233,6.176143577497673,2.05,-1.49,0.6,-0.17,-0.15
10,90,0,0,0,DCA,NO,93,6.188877660441699,0.96,-3.58,5.61,2.12,1.86
25,0,45,5,25,1-OFF,NO,174,1.64896507643913,1.28,-3.15,0.92,1.15,2.58
10,15,15,40,20,1-OFF,NO,142,3.835511846209226,2.02,-0.35,7.61,9.87,10.7
5,25,45,20,5,1-OFF,NO,180,2.1574730508016935,2.19,1.2,6.68,6.52,6.12
20,15,30,20,15,1-OFF,NO,164,2.578411444600861,1.63,-2.35,4.27,5.19,6.46
5,35,55,0,5,1-OFF,YES,178,1.179065401425845,1.82,0.99,4.75,2.78,1.95
65,0,20,15,0,1-OFF,NO,210,5.172488165217743,0.86,-11.86,-1.18,1.47,6.97
35,5,5,55,0,DCA,YES,186,5.483385228906483,1.83,-5.96,7.12,7.32,7.94
50,0,20,20,10,DCA,NO,188,6.230643935073216,1.1,-8.43,3.36,4.23,7.55
10,5,65,15,5,1-OFF,NO,216,1.538132231281828,2.29,0.9,4.76,4.64,4.44
75,0,0,25,0,1-OFF,YES,198,6.658757528648769,0.66,-14.4,-0.89,3.09,10.33
45,30,20,0,5,1-OFF,YES,167,3.5868420509574674,0.7,-8.25,0.77,1.03,4.51
10,25,40,15,10,DCA,NO,169,6.18475546493434,1.86,-1.6,3.36,2.1,1.77
20,25,0,50,5,1-OFF,NO,150,5.200479064941824,2.07,-2.69,8.74,11.97,13.96
55,0,25,5,15,1-OFF,NO,185,4.0230051895006484,0.65,-9.95,-1.93,-0.36,4.07
25,15,50,10,0,1-OFF,YES,207,2.237134032497663,1.77,-2.86,3.58,3.64,4.97
25,0,45,30,0,1-OFF,YES,218,3.336983425605468,2.22,-2.46,5.35,7.23,8.99
10,40,35,0,15,DCA,NO,141,6.181354327459144,1.33,-2.06,2.73,0.82,0.63
0,5,15,35,45,DCA,NO,104,6.18792892173362,1.76,0.32,3.85,3.67,2.83
20,0,30,10,40,DCA,YES,135,5.367953468374287,1.07,-2.96,1.9,1.5,2.13
0,15,15,65,5,1-OFF,NO,166,5.509887735013294,2.99,2.37,12.36,15.99,16.16
0,30,10,20,40,DCA,YES,85,5.301874465051441,1.2,-0.37,3.53,2.42,1.35
10,15,50,10,15,DCA,NO,177,6.181103532232199,1.82,-1.28,2.29,1.27,0.99
15,30,50,0,5,1-OFF,YES,181,1.3898658516435225,1.6,-1.16,3.7,2.34,2.55
20,25,50,5,0,1-OFF,NO,196,1.6716449206528292,1.71,-2.05,3.42,2.62,3.31
45,10,35,10,0,1-OFF,YES,206,3.645724591148986,1.25,-7.44,1.35,2.53,6.01
35,15,30,15,5,1-OFF,YES,186,3.3033587452265962,1.4,-5.46,2.98,4.08,6.78
15,10,5,35,35,1-OFF,NO,114,3.6125754547248325,1.5,-1.86,5.66,8.09,9.54
10,35,20,5,30,1-OFF,NO,108,1.4405322290628972,1.07,-1.23,3.69,2.85,3.12
